"video_id","title","duration","duration_seconds","upload_date","url","caption_status","word_count","words_per_minute","sentence_count","mean_sentence_words","question_marks","transitions_per_1000","uncertainty_per_1000","navigation_per_1000","examples_per_1000","negations_per_1000","archetype"
"13Ge_fFzGaY","Comparing US Army vs. French ENTAC Missile Units","7:30","450","NA","https://www.youtube.com/watch?v=13Ge_fFzGaY","unavailable","0","","0","","0","","","","","","comparison"
"LirPWlwODLU","How the U.S. used M7 Priests like Tanks in the Pacific","26:32","1592","NA","https://www.youtube.com/watch?v=LirPWlwODLU","available","4278","161.2","203","21.1","2","14.0","5.6","3.0","0.9","2.3","general explainer"
"L0Kcw-ocG1g","Australian Tactics: Setting up Platoon Patrol Bases","3:02","182","NA","https://www.youtube.com/watch?v=L0Kcw-ocG1g","unavailable","0","","0","","0","","","","","","doctrine/tactics"
"_5d_A9z1wTI","Comparing Aussie vs. French Rifle Squad Tactics","25:54","1554","NA","https://www.youtube.com/watch?v=_5d_A9z1wTI","available","4684","180.8","229","20.5","2","14.9","6.4","1.9","0.9","1.7","comparison"
"idnurUCx0_s","Puma vs. Boxer Squads in the German Army","15:06","906","NA","https://www.youtube.com/watch?v=idnurUCx0_s","available","2633","174.4","143","18.4","1","21.6","8.4","4.2","0.8","4.6","comparison"
"tWY5XvDBtSE","What's this New Recon Company Meant to Do? (MBCT Ep. 2)","24:00","1440","NA","https://www.youtube.com/watch?v=tWY5XvDBtSE","available","4036","168.2","193","20.9","2","10.9","5.7","1.0","0.5","4.5","problem/explanation"
"mDmfQbHYXDE","NEW U.S. Army Mobile Rifle Squad & Company (MBCT Ep. 1)","12:51","771","NA","https://www.youtube.com/watch?v=mDmfQbHYXDE","available","2056","160.0","102","20.2","0","14.1","5.8","3.4","1.0","3.4","organization"
"XQEACFATFJU","U.S. Multi-Role Bridge Company Organization (WGX WIP №1)","6:04","364","NA","https://www.youtube.com/watch?v=XQEACFATFJU","unavailable","0","","0","","0","","","","","","organization"
"1X8PZjD9_0Y","NEW U.S. Armored Division Experiment (2026)","21:31","1291","NA","https://www.youtube.com/watch?v=1X8PZjD9_0Y","available","3638","169.1","170","21.4","6","14.3","5.5","3.8","0.5","4.9","organization"
"K80FaPOWFq4","Indian Rifle Squad ‘67: More British than Britain","8:03","483","NA","https://www.youtube.com/watch?v=K80FaPOWFq4","unavailable","0","","0","","0","","","","","","organization"
"EYPY3NjWXeA","USMC Rifle Squads: The Last 10 Years & Future","19:54","1194","NA","https://www.youtube.com/watch?v=EYPY3NjWXeA","available","3393","170.5","148","22.9","1","17.1","5.0","4.1","1.2","0.9","organization"
"8Y7vw2THQ24","British Infantry Units of the Napoleonic Wars (Depth Section)","12:52","772","NA","https://www.youtube.com/watch?v=8Y7vw2THQ24","unavailable","0","","0","","0","","","","","","organization"
"eDGDFGRWBkA","Story of the USMC’s Craziest Division Structure (Depth Section)","11:36","696","NA","https://www.youtube.com/watch?v=eDGDFGRWBkA","unavailable","0","","0","","0","","","","","","organization"
"PrkwhgTTJQk","U.S. Army Long-Range Surveillance in 1989 (Depth Section)","11:36","696","NA","https://www.youtube.com/watch?v=PrkwhgTTJQk","unavailable","0","","0","","0","","","","","","general explainer"
