registry_id,state,navy,asset_name,ship_prefix,hull_number,designation,class_name,category,subtype,propulsion,commission_date,date_precision,decommission_date,status_1947,status_1985,final_disposition,full_load_tonnes,submerged_displacement_tonnes,standard_crew,standard_air_group,primary_armament_or_payload,principal_role,construction_origin,predecessor_designation,canon_status,source_basis,notes
ARG-00035,Argentina,Armada de la República Argentina,Almirante Brown,ARA,C-1,ARA Almirante Brown,Veinticinco de Mayo heavy cruiser,Cruiser,Heavy cruiser,Oil-fired geared steam turbine; two shafts,1931,year,1949,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",9000,,780,,Six 190 mm guns; twelve 102 mm guns; 40 mm antiaircraft guns; six 533 mm torpedo tubes,"Fleet flagship, ocean patrol, and regional surface action",Italy; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Veinticinco de Mayo heavy cruiser characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00036,Argentina,Armada de la República Argentina,Veinticinco de Mayo,ARA,C-2,ARA Veinticinco de Mayo,Veinticinco de Mayo heavy cruiser,Cruiser,Heavy cruiser,Oil-fired geared steam turbine; two shafts,1931,year,1959,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",9000,,780,,Six 190 mm guns; twelve 102 mm guns; 40 mm antiaircraft guns; six 533 mm torpedo tubes,"Fleet flagship, ocean patrol, and regional surface action",Italy; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Veinticinco de Mayo heavy cruiser characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00049,Argentina,Armada de la República Argentina,Salta,ARA,S-2,ARA Salta,Santa Fe,SSK,Coastal attack submarine,Diesel-electric; two shafts,1933,year,1955,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",877,1167,40,,Eight 533 mm torpedo tubes; twelve torpedoes; one 102 mm deck gun,South Atlantic coastal patrol and attack,Italy; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Santa Fe characteristics; https://www.argentina.gob.ar/armada/fuerza-de-submarinos,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00048,Argentina,Armada de la República Argentina,Santa Fe,ARA,S-1,ARA Santa Fe,Santa Fe,SSK,Coastal attack submarine,Diesel-electric; two shafts,1933,year,1949,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",877,1167,40,,Eight 533 mm torpedo tubes; twelve torpedoes; one 102 mm deck gun,South Atlantic coastal patrol and attack,Italy; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Santa Fe characteristics; https://www.argentina.gob.ar/armada/fuerza-de-submarinos,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00050,Argentina,Armada de la República Argentina,Santiago del Estero,ARA,S-3,ARA Santiago del Estero,Santa Fe,SSK,Coastal attack submarine,Diesel-electric; two shafts,1933,year,1962,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",877,1167,40,,Eight 533 mm torpedo tubes; twelve torpedoes; one 102 mm deck gun,South Atlantic coastal patrol and attack,Italy; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Santa Fe characteristics; https://www.argentina.gob.ar/armada/fuerza-de-submarinos,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00037,Argentina,Armada de la República Argentina,Buenos Aires,ARA,D-6,ARA Buenos Aires,Buenos Aires,Destroyer,Fleet destroyer,Oil-fired geared steam turbine; two shafts,1938,year,1949,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",2375,,130,,Four 120 mm guns; 40 mm and 20 mm antiaircraft guns; eight 533 mm torpedo tubes; depth charges,South Atlantic fleet screening and torpedo attack,Britain; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Buenos Aires characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00038,Argentina,Armada de la República Argentina,Corrientes,ARA,D-7,ARA Corrientes,Buenos Aires,Destroyer,Fleet destroyer,Oil-fired geared steam turbine; two shafts,1938,year,1951,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",2375,,130,,Four 120 mm guns; 40 mm and 20 mm antiaircraft guns; eight 533 mm torpedo tubes; depth charges,South Atlantic fleet screening and torpedo attack,Britain; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Buenos Aires characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00039,Argentina,Armada de la República Argentina,Entre Ríos,ARA,D-8,ARA Entre Ríos,Buenos Aires,Destroyer,Fleet destroyer,Oil-fired geared steam turbine; two shafts,1938,year,1954,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",2375,,130,,Four 120 mm guns; 40 mm and 20 mm antiaircraft guns; eight 533 mm torpedo tubes; depth charges,South Atlantic fleet screening and torpedo attack,Britain; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Buenos Aires characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00040,Argentina,Armada de la República Argentina,Misiones,ARA,D-9,ARA Misiones,Buenos Aires,Destroyer,Fleet destroyer,Oil-fired geared steam turbine; two shafts,1938,year,1957,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",2375,,130,,Four 120 mm guns; 40 mm and 20 mm antiaircraft guns; eight 533 mm torpedo tubes; depth charges,South Atlantic fleet screening and torpedo attack,Britain; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Buenos Aires characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00041,Argentina,Armada de la República Argentina,San Juan,ARA,D-10,ARA San Juan,Buenos Aires,Destroyer,Fleet destroyer,Oil-fired geared steam turbine; two shafts,1939,year,1960,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",2375,,130,,Four 120 mm guns; 40 mm and 20 mm antiaircraft guns; eight 533 mm torpedo tubes; depth charges,South Atlantic fleet screening and torpedo attack,Britain; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Buenos Aires characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
